code,iso3c,country,group,landuse,ghg,water,consumption
1,ARM,Armenia,alc,5613,39,38433702,21494
1,ARM,Armenia,bovine meat,821253,6830,2607096436,56582
1,ARM,Armenia,dairy,717494,6083,2370307964,604341
1,ARM,Armenia,eggs,38565,321,201839520,34761
1,ARM,Armenia,"fats, animals",89534,620,272111749,10405
1,ARM,Armenia,"fish, seafood",0,10,0,10916
1,ARM,Armenia,"meat, other",0,0,0,0
1,ARM,Armenia,mutton & goat meat,119986,638,241789539,8633
1,ARM,Armenia,nonfood,-2645,-20,-9548458,113
1,ARM,Armenia,"offals, edible",128888,921,418761643,13871
1,ARM,Armenia,pigmeat,97353,871,573184063,24906
1,ARM,Armenia,poultry meat,52286,259,289430430,41425
1,ARM,Armenia,veg,1358611,8919,8587342681,2328961
2,AFG,Afghanistan,alc,402,1,1599985,2888
2,AFG,Afghanistan,bovine meat,13719427,6277,8687684067,144725
2,AFG,Afghanistan,dairy,3503059,28534,3323432168,1916087
2,AFG,Afghanistan,eggs,92443,318,691836306,36303
2,AFG,Afghanistan,"fats, animals",811494,936,482728946,15490
2,AFG,Afghanistan,"fish, seafood",0,5,0,2050
2,AFG,Afghanistan,"meat, other",497034,3763,320065747,11558
2,AFG,Afghanistan,mutton & goat meat,2296514,11897,976364027,155300
2,AFG,Afghanistan,nonfood,132356,108,50376509,3847
2,AFG,Afghanistan,"offals, edible",2695262,3053,1660571572,54120
2,AFG,Afghanistan,pigmeat,0,0,0,0
2,AFG,Afghanistan,poultry meat,121853,358,840463118,65979
2,AFG,Afghanistan,veg,13077993,15773,77981226286,9397700
3,ALB,Albania,alc,29148,199,130973649,134989
3,ALB,Albania,bovine meat,386861,3629,2284979337,69735
3,ALB,Albania,dairy,734361,11308,5021299035,1042364
3,ALB,Albania,eggs,44812,492,244971209,41220
3,ALB,Albania,"fats, animals",31533,281,139350770,5357
3,ALB,Albania,"fish, seafood",0,266,0,16542
3,ALB,Albania,"meat, other",439,1,1301386,120
3,ALB,Albania,mutton & goat meat,273834,2920,1121909209,45841
3,ALB,Albania,nonfood,39,0,228986,2987
3,ALB,Albania,"offals, edible",61542,543,298970147,11901
3,ALB,Albania,pigmeat,135286,1293,759752626,34732
3,ALB,Albania,poultry meat,53562,326,293498431,41537
3,ALB,Albania,veg,1102626,7473,7794000688,2296503
4,DZA,Algeria,alc,79118,80,482506711,192935
4,DZA,Algeria,bovine meat,5538971,27334,11668186391,209096
4,DZA,Algeria,dairy,14634220,27782,33616236641,5784045
4,DZA,Algeria,eggs,697032,2772,3954213470,291317
4,DZA,Algeria,"fats, animals",307583,646,361113666,10413
4,DZA,Algeria,"fish, seafood",0,399,0,152002
4,DZA,Algeria,"meat, other",2063615,2989,3383244657,13862
4,DZA,Algeria,mutton & goat meat,9695575,19297,7835131552,284425
4,DZA,Algeria,nonfood,97063,216,124775558,10170
4,DZA,Algeria,"offals, edible",1187098,2308,1482664230,53933
4,DZA,Algeria,pigmeat,1000,991,5591765,144
4,DZA,Algeria,poultry meat,684662,2324,3882917418,287448
4,DZA,Algeria,veg,18056014,38797,117106527955,27023985
7,AGO,Angola,alc,450180,2479,3668412195,1754754
7,AGO,Angola,bovine meat,3386438,32828,16970437628,164681
7,AGO,Angola,dairy,474842,4550,2922523460,261731
7,AGO,Angola,eggs,97530,796,693475747,38465
7,AGO,Angola,"fats, animals",209896,3289,979919682,13128
7,AGO,Angola,"fish, seafood",0,462,0,329325
7,AGO,Angola,"meat, other",0,0,0,8967
7,AGO,Angola,mutton & goat meat,135623,26505,510972157,22425
7,AGO,Angola,nonfood,8940,122,50059347,23676
7,AGO,Angola,"offals, edible",387137,6155,2565800473,23341
7,AGO,Angola,pigmeat,1586363,13365,12897581860,175252
7,AGO,Angola,poultry meat,617203,4290,4218657631,343407
7,AGO,Angola,veg,13431732,90551,100983023276,16855528
8,ATG,Antigua and Barbuda,alc,931,3,4905948,2931
8,ATG,Antigua and Barbuda,bovine meat,9069,60,28494806,1056
8,ATG,Antigua and Barbuda,dairy,5482,68,19063918,11537
8,ATG,Antigua and Barbuda,eggs,221,5,1180137,449
8,ATG,Antigua and Barbuda,"fats, animals",2865,33,8968102,363
8,ATG,Antigua and Barbuda,"fish, seafood",0,4,0,4796
8,ATG,Antigua and Barbuda,"meat, other",781,2,2303640,38
8,ATG,Antigua and Barbuda,mutton & goat meat,2626,75,3787617,134
8,ATG,Antigua and Barbuda,nonfood,32,0,0,30
8,ATG,Antigua and Barbuda,"offals, edible",1092,23,4055460,261
8,ATG,Antigua and Barbuda,pigmeat,3611,21,18691807,1002
8,ATG,Antigua and Barbuda,poultry meat,6689,42,39542581,5127
8,ATG,Antigua and Barbuda,veg,21101,532,171178223,37818
9,ARG,Argentina,alc,826753,2624,4723329128,2855445
9,ARG,Argentina,bovine meat,72474837,267601,128465679333,2405475
9,ARG,Argentina,dairy,12311836,29362,35313832071,8021689
9,ARG,Argentina,eggs,790973,3158,4431758914,521025
9,ARG,Argentina,"fats, animals",2077513,7818,3727143081,70321
9,ARG,Argentina,"fish, seafood",0,155,0,259632
9,ARG,Argentina,"meat, other",4254568,7777,8714497347,53844
